,CID,HBondDonorCount,HBondAcceptorCount,MolecularWeight,XLogP,ConnectivitySMILES,SMILES,HitFreq,Include
48,70633935,1,7,414.5,0.5,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)(C)N2CCOCC2)C3=CC=CC=C3)C(=O)O,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)(C)N2CCOCC2)C3=CC=CC=C3)C(=O)O,1,1
49,141923327,1,5,417.5,4.9,CC1=CC(=CC=C1)C2C(=C(N(C(=C2C(=O)OCC=CC3=CC=CC=C3)C)C)C)C(=O)O,CC1=CC(=CC=C1)C2C(=C(N(C(=C2C(=O)OC/C=C/C3=CC=CC=C3)C)C)C)C(=O)O,1,1
51,159081002,0,5,397.5,4.9,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OC(C)C)C)C3CC3)C,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OC(C)C)C)C3CC3)C,1,1
52,159333580,0,5,371.5,4.4,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OC(C)C)C)C)C,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OC(C)C)C)C)C,1,1
54,160258164,0,5,385.5,4.7,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=C(C=C2)C)C(=O)OC(C)C)C)C)C,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=C(C=C2)C)C(=O)OC(C)C)C)C)C,1,1
55,163946021,0,6,387.5,3.4,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)C)C2=CC=CC=C2)C(=O)OCCOC,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)C)C2=CC=CC=C2)C(=O)OCCOC,1,1
57,46703214,1,7,401.5,3.5,CC1C(=C(N(C(=C1C(=O)OCC2=CC=CC=C2)C)CC(=O)OC(C)C)C)C(=O)O,CC1C(=C(N(C(=C1C(=O)OCC2=CC=CC=C2)C)CC(=O)OC(C)C)C)C(=O)O,1,1
58,91377582,2,5,427.5,4.0,CNC(=O)C1=NC=CC(=C1)OC2=C(C3=CC=CC=C3C=C2)NC(=O)C4=CC(=CC=C4)OC,CNC(=O)C1=NC=CC(=C1)OC2=C(C3=CC=CC=C3C=C2)NC(=O)C4=CC(=CC=C4)OC,1,1
59,123364783,2,5,398.4,4.7,CC1=CC=C(C=C1)NC(=O)C2=CC=CC3=C2C=CC(=C3)OC4=CC(=NC=C4)C(=O)O,CC1=CC=C(C=C1)NC(=O)C2=CC=CC3=C2C=CC(=C3)OC4=CC(=NC=C4)C(=O)O,4,1
60,18506200,3,7,412.8,3.2,C1=CC=C(C(=C1)NC(=O)C2=CC(=NC=C2)Cl)OC3=CC(=C(C=C3)C(=O)O)C(=O)O,C1=CC=C(C(=C1)NC(=O)C2=CC(=NC=C2)Cl)OC3=CC(=C(C=C3)C(=O)O)C(=O)O,6,1
62,21283685,3,6,435.9,3.2,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)NC(C)C)C)COCCN,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)NC(C)C)C)COCCN,1,1
64,70073981,2,6,477.0,4.9,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C(C)C)C(=O)OC(C)(C)C,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C(C)C)C(=O)OC(C)(C)C,1,1
68,139677586,2,5,397.8,4.2,CC1=C(C(C(=C(N1CC2=CC=CC=C2)C)C(=O)O)C3=CC=CC=C3Cl)C(=O)O,CC1=C(C(C(=C(N1CC2=CC=CC=C2)C)C(=O)O)C3=CC=CC=C3Cl)C(=O)O,1,1
72,20242061,2,6,489.4,2.4,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=C(C(=CC=C3)Cl)Cl)C(=O)O,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=C(C(=CC=C3)Cl)Cl)C(=O)O,3,1
73,4908365,1,2,277.75,2.3,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,7,1
75,6540268,2,3,453.0,4.6,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC=C(C=C4)Cl,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC=C(C=C4)Cl,7,1
76,10126682,3,4,397.8,3.0,C1C(C(=O)N(C2=CC=CC=C21)CC(=O)O)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1C(C(=O)N(C2=CC=CC=C21)CC(=O)O)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,8,1
77,10194504,4,4,413.9,2.1,C1C(C(=O)N(C2=CC=CC=C21)CC(CO)O)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1C(C(=O)N(C2=CC=CC=C21)C[C@H](CO)O)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,4,1
78,10287292,3,3,383.8,2.8,C1C(C(=O)N(C2=CC=CC=C21)CCO)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1C(C(=O)N(C2=CC=CC=C21)CCO)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,8,1
79,10310138,4,4,427.9,2.3,C1C(C(=O)N(C2=CC=CC=C21)CC(CO)CO)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1C(C(=O)N(C2=CC=CC=C21)CC(CO)CO)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,6,1
82,21638785,2,2,263.72,1.8,C1CN(CCN1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1CN(CCN1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,6,1
83,23647200,2,3,453.0,4.6,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC(=CC=C4)Cl,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC(=CC=C4)Cl,3,1
84,44450788,3,3,460.3,4.3,C1CN(CCC1O)C(=O)C(CC2=CC=CC=C2Cl)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCC1O)C(=O)[C@H](CC2=CC=CC=C2Cl)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,5,1
88,166633215,4,3,384.9,3.7,CCCNNC(=O)C1=CC=C(C=C1)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CCCNNC(=O)C1=CC=C(C=C1)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,3,1
89,4897400,1,3,357.8,4.2,C1CN(CCN1C2=CC=CC=C2F)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCN1C2=CC=CC=C2F)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,8,1
90,4975679,1,1,310.8,4.0,C1CN(CC2=CC=CC=C21)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CC2=CC=CC=C21)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,7,1
91,197964,2,1,220.65,2.3,C1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)Cl,C1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)Cl,5,1
92,15951575,3,2,353.8,3.5,CC1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)C(=O)NC4=CC=C(C=C4)Cl,CC1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)C(=O)NC4=CC=C(C=C4)Cl,8,1
93,15951577,3,2,353.8,3.5,CC1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)C(=O)NC4=CC(=CC=C4)Cl,CC1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)C(=O)NC4=CC(=CC=C4)Cl,4,1
96,3549432,1,2,353.8,4.4,CC1=CC2=C(C=C1)NC(=C2)C(=O)N3CCN(CC3)C4=CC(=CC=C4)Cl,CC1=CC2=C(C=C1)NC(=C2)C(=O)N3CCN(CC3)C4=CC(=CC=C4)Cl,5,1
97,3939214,1,1,262.73,3.3,C1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,6,1
98,4584398,1,1,319.2,4.4,CN1C2=C(C=C(C=C2)Cl)C=C1C(=O)NC3=CC=C(C=C3)Cl,CN1C2=C(C=C(C=C2)Cl)C=C1C(=O)NC3=CC=C(C=C3)Cl,3,1
99,4619062,1,2,319.78,1.8,CN1C2=C(C=C(C=C2)Cl)C=C1C(=O)N3CCC(CC3)C(=O)N,CN1C2=C(C=C(C=C2)Cl)C=C1C(=O)N3CCC(CC3)C(=O)N,2,1
100,4894334,1,3,334.8,3.2,CCOC(=O)C1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CCOC(=O)C1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,1,1
101,4970031,1,3,357.8,4.2,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=CC4=C(N3)C=CC(=C4)F,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=CC4=C(N3)C=CC(=C4)F,7,1
102,7326141,1,2,291.73,1.8,C1CN(CCN1C=O)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1CN(CCN1C=O)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,6,1
103,9803497,3,4,443.9,3.8,C1CN(CCC1O)C(=O)C(CC2=CC=CC=C2F)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCC1O)C(=O)[C@H](CC2=CC=CC=C2F)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,6,1
104,9860842,1,2,291.77,2.6,CC1=CC(=CC2=C1NC(=C2)C(=O)N3CCN(CC3)C)Cl,CC1=CC(=CC2=C1NC(=C2)C(=O)N3CCN(CC3)C)Cl,5,1
105,9878733,1,2,277.75,2.3,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C(=CC=C3)Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C(=CC=C3)Cl,5,1
106,9944571,1,2,312.2,2.9,CN1CCN(CC1)C(=O)C2=CC3=CC(=CC(=C3N2)Cl)Cl,CN1CCN(CC1)C(=O)C2=CC3=CC(=CC(=C3N2)Cl)Cl,2,1
107,9965450,1,2,277.75,2.3,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=C(C=C3)Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=C(C=C3)Cl,2,1
108,10237241,3,3,371.8,2.7,C1=CC=C(C=C1)N(CCO)C(=O)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1=CC=C(C=C1)N(CCO)C(=O)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,5,1
109,10248548,2,2,369.8,3.8,CN(C)C(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CN(C)C(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,8,1
110,10498436,3,2,355.8,3.6,CNC(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CNC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,8,1
111,10546217,2,3,356.8,4.2,COC(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,3,1
112,10574415,3,3,425.9,3.7,C1CN(CCC1O)C(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCC1O)C(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,7,1
113,10641957,3,2,355.8,3.6,CNC(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CNC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,8,0
114,10714181,2,2,369.8,3.8,CN(C)C(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CN(C)C(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,8,0
115,11324804,2,1,324.8,4.3,C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)NC(=O)C4=CC=CC=C4,C1C[C@H](C2=C(C1)C3=C(N2)C=CC(=C3)Cl)NC(=O)C4=CC=CC=C4,4,1
116,11420126,3,3,474.9,4.3,C1CC(C(C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)NC(=O)C4=CC=C(C=C4)N5C=CC=CC5=O,C1C[C@@H]([C@@H](C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)NC(=O)C4=CC=C(C=C4)N5C=CC=CC5=O,6,1
117,14208230,3,4,446.9,4.7,C1=CC=C2C(=C1)C(=NC(C(=O)N2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)C5=CC=CC=C5F,C1=CC=C2C(=C1)C(=NC(C(=O)N2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)C5=CC=CC=C5F,5,1
119,66572106,1,2,277.75,2.3,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC=C3Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC=C3Cl,2,1
124,4973027,1,2,291.77,2.6,CCN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CCN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,7,1
125,16752691,2,2,381.9,4.8,CCC1=C(NC2=C1C=C(C=C2)Cl)C(=O)NC3CCN(C3)CC4=CC=CC=C4,CCC1=C(NC2=C1C=C(C=C2)Cl)C(=O)NC3CCN(C3)CC4=CC=CC=C4,5,1
126,10432804,2,6,429.8,4.1,CC(C)C(C(=O)C(F)(F)F)NC(=O)CN1CCC2=C(C1=O)NC3=C2C=C(C=C3)Cl,CC(C)C(C(=O)C(F)(F)F)NC(=O)CN1CCC2=C(C1=O)NC3=C2C=C(C=C3)Cl,3,1
128,11337304,2,3,358.8,2.9,C1CCC(C1)N(CC#N)C(=O)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1CCC(C1)N(CC#N)C(=O)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,4,1
129,16405913,1,2,339.8,3.8,C1CCN(C(C1)C2=CN=CC=C2)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CCN(C(C1)C2=CN=CC=C2)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,1,1
130,42323702,2,4,491.0,4.6,CC1=C(NC2=C1C=C(C=C2)Cl)C(=O)N3CCC4=C(C(=NC=C4C3)C)CNC(=O)C5=CC=CC=C5F,CC1=C(NC2=C1C=C(C=C2)Cl)C(=O)N3CCC4=C(C(=NC=C4C3)C)CNC(=O)C5=CC=CC=C5F,2,1
132,44358036,2,3,430.9,3.9,C1C(C(=O)N(C2=CC=CC=C21)CC3=CC=CC=N3)NC(=O)C4=CC5=C(N4)C=CC(=C5)Cl,C1C(C(=O)N(C2=CC=CC=C21)CC3=CC=CC=N3)NC(=O)C4=CC5=C(N4)C=CC(=C5)Cl,4,1
133,44358198,2,3,430.9,3.9,C1C(C(=O)N(C2=CC=CC=C21)CC3=CN=CC=C3)NC(=O)C4=CC5=C(N4)C=CC(=C5)Cl,C1C(C(=O)N(C2=CC=CC=C21)CC3=CN=CC=C3)NC(=O)C4=CC5=C(N4)C=CC(=C5)Cl,4,1
134,44358209,2,3,430.9,3.9,C1C(C(=O)N(C2=CC=CC=C21)CC3=CC=CC=N3)NC(=O)C4=CC5=C(N4)C=CC(=C5)Cl,C1[C@@H](C(=O)N(C2=CC=CC=C21)CC3=CC=CC=N3)NC(=O)C4=CC5=C(N4)C=CC(=C5)Cl,4,0
