,smiles,dat,id
88,CN4CCCC(Oc3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)c3)C4,517054,CHEMBL472026
89,CN4CCC(Oc3cc(F)cc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)c3)C4,517263,CHEMBL472460
90,Nc3nc(c1ccco1)cc(c2ccco2)c3C#N,489248,CHEMBL506250
91,Nc3nc(C(=O)NCCc1ccc(O)cc1)cn4nc(c2ccco2)nc34,327188,CHEMBL373026
92,Cc3ccc(c2cc(C(=O)NCc1ncc[nH]1)nc(N)n2)o3,591874,CHEMBL594363
93,CCN(CC)C(=O)c4cccc(c3cn2nc(c1ccco1)nc2c(N)n3)c4,327142,CHEMBL196320
94,CCCCNC(=O)c3cn2nc(c1ccco1)nc2c(N)n3,327178,CHEMBL426821
95,CC(O)(Cc1ccncc1)C#Cc4cn3nc(c2ccco2)nc3c(N)n4,303751,CHEMBL359463
96,Nc5nc(c1ccco1)c4nnn(Cc3ccc2[nH]ccc2c3)c4n5,472437,CHEMBL468256
97,Nc3nc(C#CC1(O)CCCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,606257,CHEMBL608297
98,OC[C@H]4O[C@H](n2cnc3c(NC1CCCC1)ncnc23)[C@@H](O)[C@H]4O,110480,CHEMBL68738
99,COCCOc6ccc(N5CCN(Cc4cccc(c3cc2nc(c1ccco1)nn2c(N)n3)c4)CC5)cc6C#N,297163,CHEMBL180211
100,Cc5cc(C)n(c4cc(NC(=O)COc1ccccc1CCN2CCOCC2)nc(c3ccc(C)o3)n4)n5,424900,CHEMBL256755
101,Cc5cc(C)n(c4cc(NC(=O)COc2cccc(CN1CCOCC1)c2)nc(c3ccc(C)o3)n4)n5,424889,CHEMBL256125
102,CCCN3C2N=C(c1ccc(OCC(=O)NCCN)cc1)NC2C(=O)N(CCC)C3=O,56127,CHEMBL39503
103,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#CCCCc1ccccc1)nc23)[C@H](O)[C@@H]4O,605476,CHEMBL603813
104,Nc4nc2nn(Cc1ccc(F)cc1)cc2c5nc(c3ccco3)nn45,18538,CHEMBL278906
105,S=c4sc2c(ncn3nc(c1ccco1)nc23)n4CCc5ccccc5,623099,CHEMBL1093480
106,Nc5nc(c3cccc(N2CCN(CCN1CCOCC1)CC2)c3)cc6nc(c4ccco4)nn56,297238,CHEMBL176229
107,CN(C)c3nc(c1nc(C)cs1)c2sccc2n3,427600,CHEMBL406315
108,CC(N1CCOCC1)c7ccc6cc(CCn2ncc4c2nc(N)n5nc(c3ccco3)nc45)ccc6n7,468184,CHEMBL516753
109,CCCn4c(=O)n(CCC)c3[nH]c(c2ccc(OCC(=O)NCCNC(=O)C(N)Cc1cccs1)cc2)nc3c4=O,85023,CHEMBL55196
110,Nc5nc(c1ccco1)c4ncn(Cc3ccc2ccccc2c3)c4n5,324801,CHEMBL195364
111,Nc5nc3n(CCN2CCN(c1ncc(F)cn1)CC2)cnc3c6nc(c4ccco4)nn56,407657,CHEMBL246262
112,Nc3nc(c1ccco1)cc(c2cccs2)c3C#N,489243,CHEMBL476311
113,Nc4nc(SCCN2CCN(c1ccc(F)cc1F)CC2)cc5nc(c3ccco3)nn45,475193,CHEMBL521242
114,OC[C@H]4OC(n2cnc3c(NC1CCCCC1)ncnc23)[C@H](O)[C@@H]4O,139575,CHEMBL85549
115,Nc3nc(c1ccccn1)cc4nc(c2ccco2)nn34,296945,CHEMBL177330
116,Nc4nc(c2cnn(Cc1ccccc1)c2)nc5n(C3O[C@H](CO)[C@@H](O)[C@H]3O)cnc45,312651,CHEMBL187326
117,Nc4nc2n(Cc1ccccc1)cnc2c5nc(c3ccco3)nn45,407644,CHEMBL245645
118,CN(C)C[C@@H]4CCCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)C4,440015,CHEMBL409460
119,COCCOc6cccc5CCN(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)Cc56,447790,CHEMBL512133
120,COCCOC(C)c6ccc5cc(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)ccc5n6,468111,CHEMBL481146
121,O=C(CN1CCOCC1)Nc4cc(n2cccn2)nc(c3ccco3)n4,419353,CHEMBL252345
122,Nc5nc3n(CCN2CCc1ncc(Br)cc1C2)ncc3c6nc(c4ccco4)nn56,447624,CHEMBL470088
123,Nc6nc4n(CCc3ccc2nc(C(=O)N1CCOCC1)ccc2c3)ncc4c7nc(c5ccco5)nn67,468183,CHEMBL482138
124,COc4ccc(CCSc3cc2nc(c1ccco1)nn2c(N)n3)cc4,474985,CHEMBL475445
125,Nc5nc3n(CCN2CCN(c1nccs1)CC2)cnc3c6nc(c4ccco4)nn56,407658,CHEMBL246263
126,COCc3cccc(CNC(=O)c2cc(c1ccco1)nc(N)n2)n3,554719,CHEMBL564473
127,Nc3nc(N\N=C\CCC1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,607364,CHEMBL608966
128,O=C(COc1cccc(C#N)c1)Nc4cc(c2nccs2)nc(c3ccccn3)n4,424879,CHEMBL255911
129,Nc6nc4n(CCc3ccc2nc(N1CCOCC1)ccc2c3)ncc4c7nc(c5ccco5)nn67,468185,CHEMBL479784
130,CCC(=O)Nc3cc(c1cncc(OC)c1)nc(n2nc(C)cc2C)n3,516613,CHEMBL486140
131,CC(C)CCn5cc3c(nc(NC(=O)Cc1cccc(Cl)c1)n4nc(c2ccco2)nc34)n5,568641,CHEMBL576185
132,Nc6nc4n(CCN3CCc2ncc(C1CC1)cc2C3)ncc4c7nc(c5ccco5)nn67,447623,CHEMBL469893
133,Nc4nc(c1ccco1)c3nnn(Cc2ccsc2)c3n4,471384,CHEMBL506101
134,Nc3nc(C#CC1(O)CCCCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,606237,CHEMBL611528
135,Nc3nc(c1ccncc1)cc4nc(c2ccco2)nn34,296916,CHEMBL180109
136,Nc3nc(NCCC1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,139588,CHEMBL87459
137,CC1CCCCN1C(=O)c4cc(N)n3nc(c2ccc(Br)o2)nc3c4,184603,CHEMBL113967
138,COC[C@H]1CCCN1C(=O)c4cc(N)n3nc(c2ccc(Br)o2)nc3c4,184189,CHEMBL112773
139,COCCOc6ccc(N5CCN(CCn1cnc3c1nc(N)n4nc(c2cccc(F)c2)nc34)CC5)cc6,407662,CHEMBL246469
140,CN4CCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccco2)n3)CC4,418975,CHEMBL252171
141,Nc4nc(c1ccco1)c3ncn(C(=O)NCc2ccco2)c3n4,427580,CHEMBL259832
142,Cc3ccc(c2cc(C(=O)NCc1ccc[nH]1)nc(N)n2)o3,591855,CHEMBL596308
143,Nc4nc(N2CCN(Cc1c(Cl)cncc1Cl)CC2)nc5nc(c3ccco3)nn45,312206,CHEMBL187586
144,Nc4nc(NC[C@H]1CCCN1Cc2c(F)cc(F)cc2F)nc5nc(c3ccco3)nn45,296662,CHEMBL176039
145,Nc3nc(C(=O)NCc1ccccc1)cn4nc(c2ccco2)nc34,327179,CHEMBL363377
146,Nc6nc(N4CCN3C[C@@H](CN(Cc1cccnc1)Cc2cccnc2)CC[C@H]3C4)nc7nc(c5ccco5)nn67,373095,CHEMBL374149
147,Nc5nc(N3CCN2C[C@@H](CNCc1ccc(F)cc1F)CC[C@H]2C3)nc6nc(c4ccco4)nn56,373067,CHEMBL222097
148,NC[C@@H]5CC[C@H]4CN(c3nc(N)n2nc(c1ccco1)nc2n3)CCN4C5,373056,CHEMBL222589
149,CC(C)CCn5cc3c(nc(NC(=O)Cc1cccs1)n4nc(c2ccco2)nc34)n5,569698,CHEMBL572600
150,CN(C)C[C@@H]4CCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)C4,440434,CHEMBL272637
151,Cc4csc(c2nc(N)nc3n(Cc1ccccc1F)nnc23)n4,472211,CHEMBL505787
152,Cc1ccccc1CNC(=O)c3cc(c2ccco2)nc(N)n3,565205,CHEMBL551368
153,CC(C)(C)OC(=O)C1CCCN1CC(O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)OCc3ccccc3,120089,CHEMBL75416
154,Nc3nc(NCCC1=CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,139587,CHEMBL314313
155,Cc4ccc(c3nn2c(N)nc1ccc(Cl)cc1n2c3=O)cc4,402808,CHEMBL392136
156,Cc5cc(C)n(c4cc(NC(=O)COc2cccc(CCN1CCOCC1)c2)nc(c3ccc(C)o3)n4)n5,424895,CHEMBL256546
157,COc7cc6CCN(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)C(Cc5ccccc5)c6cc7OC,447789,CHEMBL510959
158,CC(=O)Nc4cc(c2cccc(N1CCCOCC1)n2)nc(n3nc(C)cc3C)n4,516776,CHEMBL520036
159,Nc4nc(c1ccco1)c3nnn(Cc2cccs2)c3n4,471383,CHEMBL460799
160,Nc3nc(C#CCC1CCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,606254,CHEMBL608005
161,CN(C)[C@H]4CCN(CCC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)C4,440405,CHEMBL270314
162,Nc5nc(c3cccc(CN2CCN(c1nccs1)CC2)c3)cc6nc(c4ccco4)nn56,297169,CHEMBL426952
163,Nc5nc(c1ccccc1)c4c(=O)c3cccc(CN2CCCC2)c3c4n5,629251,CHEMBL1087709
164,Nc4nc2nn(Cc1ccc(F)cc1)nc2c5nc(c3ccco3)nn45,137168,CHEMBL315562
165,CCCCC#Cc4nc(N)c3ncn(C2O[C@H](C(=O)NC1CC1)[C@@H](O)[C@H]2O)c3n4,606642,CHEMBL608029
166,CN5CCN(c4ccc3c(=O)c2c(c1ccccc1)nc(N)nc2c3c4)CC5,628921,CHEMBL1096134
167,COC[C@H]1CCCN1c3cc(NC(C)=O)nc(c2ccc(C)o2)n3,496747,CHEMBL508786
168,CCC(CC)Nc3nc(NCCc1cn(CC)cn1)nc4n([C@@H]2C[C@H](NC(=O)CC)[C@@H](O)[C@H]2O)cnc34,599296,CHEMBL592541
169,CCn3c(=O)n(CC)c2nc(\C=C\C=C\c1ccccc1)n(C)c2c3=O,492731,CHEMBL489592
170,Nc4nc(c1ccco1)c3ncn(Cc2ccc(C(F)(F)F)cc2F)c3n4,324890,CHEMBL372475
171,OC[C@@H]1CCCN1c4nc(c2nccs2)c3sccc3n4,427485,CHEMBL260718
172,COc4ccc(CCOc3cc2nc(c1ccco1)nn2c(N)n3)cc4,474921,CHEMBL481737
173,COCCOc5ccc(N4CCN(CCOc3cc2nc(c1ccco1)nn2c(N)n3)CC4)cc5,475192,CHEMBL480556
174,Nc3nc(c1cccc(CO)c1)cc4nc(c2ccco2)nn34,296903,CHEMBL360446
175,Nc5nc(c1ccccc1)c4c(=O)c3ccc(N2CCOCC2)cc3c4n5,628920,CHEMBL1095822
176,CN(C)C(=O)CN(C)C(=O)c3cc(N)n2nc(c1ccc(Br)o1)nc2c3,184255,CHEMBL112631
177,Nc5nc(c1ccccc1)c4c(=O)c3ccc(CNN2CCCCC2)cc3c4n5,629320,CHEMBL1088236
178,CC(=O)Nc4cc(c2cncc(N1CCOCC1)c2)nc(n3nc(C)cc3C)n4,516617,CHEMBL521029
179,COc2ccc(N(CC(C)C)C(C)=O)c3sc(NC(=O)c1ccc(F)cc1)nc23,647609,CHEMBL1171718
180,CCN(C(C)=O)c3ccc(OC)c4nc(NC(=O)c2cnn(Cc1cccc(C(F)(F)F)c1)c2)sc34,647671,CHEMBL1171164
181,Nc4nc(N2CCN(Cc1c(F)cc(F)cc1F)CC2)nc5nc(c3ccco3)nn45,296716,CHEMBL173941
182,Nc4nc(NC[C@H]1CCCN1Cc2ccc(Cl)o2)nc5nc(c3ccco3)nn45,296678,CHEMBL179478
183,Nc6nc(N4CCN3C[C@@H](CN(Cc1ccncc1)Cc2ccncc2)CC[C@H]3C4)nc7nc(c5ccco5)nn67,373116,CHEMBL221573
184,C#CCOc3nc(c1ccccc1)nc4sc2CCCCc2c34,630005,CHEMBL1087079
185,COc5ccc(NC(=O)Nc3nc1nn(C)c(SC)c1c4nc(c2ccco2)nn34)cc5,26470,CHEMBL22113
186,Nc5nc(c1ccccc1)c4c(=O)c3ccc(NCCN2CCS(=O)(=O)CC2)cc3c4n5,628847,CHEMBL1095811
187,Nc5nc(c1ccco1)c4ncn(Cc2ccccc2CS(=O)(=O)c3ccccc3)c4n5,324701,CHEMBL195503
188,COc5cc(OC)cc(C(CNc2ncnc3n(C1O[C@H](CO)[C@@H](O)[C@H]1O)cnc23)c4ccccc4C)c5,605130,CHEMBL603581
189,CCCCn5cc3c(nc(NC(=O)Cc1ccsc1)n4nc(c2ccco2)nc34)n5,569717,CHEMBL572601
190,Nc5nc(c1ccccc1)c4c(=O)c3cccc(CN2CCOCC2)c3c4n5,629189,CHEMBL1087462
191,CCCCCc3nc(N)c2nc(n1nccn1)n(C)c2n3,329545,CHEMBL196258
192,C1CC1c4nc(c2nccs2)c3sccc3n4,427487,CHEMBL260719
193,Nc4nc(N/N=C/C1=CC2CCC1C2)nc5n(C3O[C@H](CO)[C@@H](O)[C@H]3O)cnc45,607465,CHEMBL610443
194,Nc3nc(OCCc1ccsc1)nc4n(C2O[C@@H](CO)[C@H](O)[C@@H]2O)cnc34,605178,CHEMBL605461
195,Nc3nc(C#CCCC1CCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,606290,CHEMBL610362
196,Nc3nc(N/N=C/C1=CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,607494,CHEMBL607796
197,CCNC(=O)[C@H]4O[C@@H](n2cnc3c(N)nc(\C=C\CCCc1ccccc1)nc23)[C@H](O)[C@@H]4O,241512,CHEMBL423739
198,Nc4ccc(n3nc2c(N)nc1ccccc1n2c3=O)cc4,196819,CHEMBL118164
199,CN(CCc1ccccc1)Cc5cccc(c4cc3nc(c2ccco2)nn3c(N)n4)c5,296909,CHEMBL175824
200,Cc4cc(C)nc(OCC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)n4,424905,CHEMBL404864
201,Nc3nc(OCCc1cccs1)nc4n(C2O[C@@H](CO)[C@H](O)[C@@H]2O)cnc34,605180,CHEMBL605667
202,CN6CCN(S(=O)(=O)c5ccc(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)cc5)CC6,29116,CHEMBL418564
203,Nc5nc(c1ccc(Br)o1)c4Cc3ccc(N2CCCC2)cc3c4n5,301076,CHEMBL360029
204,Cn3c(=O)n(C)c2[nH]c(C1CCCC1)nc2c3=O,173982,CHEMBL106265
205,CCN(CCc1ccccn1)C(=O)c4cc(N)n3nc(c2ccc(Br)o2)nc3c4,184859,CHEMBL323621
206,Nc4nc(c1ccco1)c3cnn(CCCc2ccccc2)c3n4,427337,CHEMBL407049
207,COc4cncc(c3cc(NC(=O)CN1CCOCC1)nc(n2nc(C)cc2C)n3)c4,516535,CHEMBL486131
208,Nc4nc(CN[C@H]1CCCN1Cc2ccnc(Cl)c2)nc5nc(c3ccco3)nn45,488854,CHEMBL513009
209,COc5cccc(n3c(=O)n(Cc1c(F)cccc1F)c4cnc(NC2CC2)nc34)c5,457857,CHEMBL489126
210,Nc4nc(NC[C@H]1CCCN1Cc2ccnc(Cl)c2)nc5nc(c3ccco3)nn45,296714,CHEMBL174628
211,CN(CCN2CCN(c1ccc(F)cc1F)CC2)c5nc(N)n4nc(c3ccco3)nc4n5,309568,CHEMBL184309
212,Nc5nc(N3CCN2C[C@@H](Cn1cncn1)CC[C@H]2C3)nc6nc(c4ccco4)nn56,373051,CHEMBL221561
213,CSc5n(C)nc6nc(NC(=O)Cc2ccc1OCOc1c2)n4nc(c3ccco3)nc4c56,26832,CHEMBL21572
