PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004332835 uM,W460-Activity at 0.00130 uM,W460-Activity at 0.00388 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.035 uM,W460-Activity at 0.057 uM,W460-Activity at 0.105 uM,W460-Activity at 0.315 uM,W460-Activity at 0.650 uM,W460-Activity at 0.956 uM,W460-Activity at 2.842 uM,W460-Activity at 4.858 uM,W460-Activity at 8.495 uM,W460-Activity at 25.28 uM,W460-Activity at 36.32 uM,W460-Activity at 76.68 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004332835 uM,Ratio-Activity at 0.00130 uM,Ratio-Activity at 0.00388 uM,Ratio-Activity at 0.00490 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.035 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.105 uM,Ratio-Activity at 0.315 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.956 uM,Ratio-Activity at 2.842 uM,Ratio-Activity at 4.857 uM,Ratio-Activity at 8.495 uM,Ratio-Activity at 25.28 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.68 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 406.9 uM,Ratio-Activity at 909.9 uM,Ratio-Activity at 2034.6 uM,Ratio-Activity at 4832.0 uM,Ratio-Activity at 10804.6 uM,Ratio-Activity at 24159.8 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004332835 uM,W530-Activity at 0.00130 uM,W530-Activity at 0.00388 uM,W530-Activity at 0.00490 uM,W530-Activity at 0.012 uM,W530-Activity at 0.035 uM,W530-Activity at 0.057 uM,W530-Activity at 0.105 uM,W530-Activity at 0.315 uM,W530-Activity at 0.650 uM,W530-Activity at 0.956 uM,W530-Activity at 2.842 uM,W530-Activity at 4.857 uM,W530-Activity at 8.495 uM,W530-Activity at 25.28 uM,W530-Activity at 36.32 uM,W530-Activity at 76.68 uM,W530-Activity at 182.0 uM,W530-Activity at 406.9 uM,W530-Activity at 909.9 uM,W530-Activity at 2034.6 uM,W530-Activity at 4832.0 uM,W530-Activity at 10804.6 uM,W530-Activity at 24159.8 uM,W530-Activity at 54023.0 uM,Compound QC
541,26757531,73864,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)(C(F)(F)F)C(F)(F)F)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164114-01/21155736,,Inconclusive,,,,,,,,,,4,,-55.6433,,67.4395,-30.9962,6.8413,-35.334,-18.0335,8.279,30.112,37.9825,26.0959,-53.8532,15.395,-5.123,,-1.2043,-12.1159,-55.6433,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.4,2.2526,0.771,-58.5654,-5.0101,-2.4,1 0 0 0 0 0 0 0 0 0 0 0 0 1 0,-48.796,,12.5347,-17.8229,-5.5988,-11.8626,-9.6875,-0.6758,6.3054,-1.9414,-3.7673,-9.5176,4.6002,-8.8001,,-10.0549,5.7253,-48.796,,,,,,,,,,,,,,,4,,11.7394,,23.9495,-2.3826,11.119,-7.3181,-0.866,4.5178,15.2795,24.7373,18.7129,-22.5515,5.9481,3.5406,,6.3406,-9.3005,11.7394,,,,,,,,,QC'd by SigmaAldrich
542,26757532,70837,C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164115-01/21156199,,Inconclusive,,,,Complete curve; partial efficacy; poor fit,-5.05,0.2,0.3256,-66.4198,4.5,-1.4,0 0 0 0 1 0 0 0 0 0 0 0 0 1 0,-49.9021,,-14.5543,3.4889,4.7386,-18.1309,24.8066,-23.7125,-33.4837,-3.1596,-20.5922,-39.3471,-17.5481,5.0389,,-50.7046,3.88,-49.9021,,,,,,,,,,,,,,,4,,-0.3784,,5.9885,-0.6707,12.0906,8.3763,16.499,11.7829,-0.5549,-0.1916,6.5024,8.4051,17.9948,13.7792,,4.2071,11.3693,-0.3784,,,,,,,,,,,,,,,4,,-31.3337,,-16.7204,1.2393,-7.1098,-16.8272,0.0304,-25.1751,-19.9678,-1.2802,-14.4174,-32.0376,-24.8326,-11.3361,,-36.3671,-8.7473,-31.3337,,,,,,,,,QC'd by SigmaAldrich
543,26757537,671,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164120-01/21156948,,Fluorescent,44.6684,74.2552,,Partial curve; partial efficacy; poor fit,-4.85,3.5117,0.813,58.3949,1.2183,2.4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-70.3709,,18.9234,-4.2451,-2.9475,1.5417,9.9037,19.0812,-1.8822,-12.9979,10.4797,-6.8088,-0.2372,5.5796,,30.1263,60.1602,-70.3709,,,,,,,,,Single point of activity,-4.3,4.9549,0.9326,-99.8714,5.6032,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,-88.32,,-4.1234,-3.8558,8.9669,-1.8463,11.7925,12.9669,0.4295,13.5455,6.0466,11.3307,4.1382,-1.7111,,13.5564,21.9101,-88.32,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.35,3.9295,0.8775,69.2667,-4.9885,2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,68.6115,,9.297,-3.2121,-10.8334,1.4742,-6.5379,-3.9622,-2.8805,-18.4997,-2.3007,-16.1784,-6.8046,-0.6089,,0.7621,12.3545,68.6115,,,,,,,,,QC'd by SigmaAldrich
544,26757542,17701,CC[Sn](CC)(CC)Br,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164125-01/21156945,,Inconclusive,,,,,,,,,,4,,17.1857,,16.8819,52.2695,-0.4008,39.0333,49.7828,33.3669,1.832,-6.2708,20.9768,55.2056,47.2056,9.184,,51.6729,43.8278,17.1857,,,,,,,,,Single point of activity,-4.35,3.132,0.7038,-35.4975,3.5,-3,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-33.561,,-9.1927,-5.3305,8.0797,9.6181,4.3208,3.1566,-5.8747,-1.4494,6.38,14.1967,10.8833,-6.4657,,1.2945,-7.2343,-33.561,,,,,,,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,41.9944,,12.4161,31.9754,-8.4132,14.2896,22.8283,12.0145,4.12,-4.162,3.8269,16.4816,15.2388,5.4861,,23.3259,28.9594,41.9944,,,,,,,,,QC'd by SigmaAldrich
545,26757544,8814,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164127-01/21156529,,Cytotoxic,44.6684,71.3963,,Single point of activity,-4.3,4.9549,0.7482,-115.194,0,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-128.157,,-3.7441,15.4147,-4.4061,0.696,9.2009,24.5206,-18.4092,-1.4288,15.8513,-35.7184,-20.7142,-13.3762,,26.2183,-7.1991,-128.157,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,26.727,,-0.4869,1.0364,1.411,-8.3033,8.5221,6.3341,-1.4363,3.8527,13.1848,-8.2494,8.5931,-2.589,,3.5599,6.2635,26.727,,,,,,,,,Partial curve; high efficacy; poor fit,-4.35,4.9549,0.8237,-73.8535,-2.4573,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-80.2056,,-4.6419,6.5028,-3.4961,9.3672,-2.101,5.8052,-8.7802,-3.0438,-2.5875,-16.8406,-18.6393,-8.5613,,8.5946,-10.1152,-80.2056,,,,,,,,,QC'd by SigmaAldrich
546,26757546,7710,CCCCCC1CCC(=O)O1,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164129-01/21156811,,Inconclusive,0.01,47.2397,,,,,,,,4,,-32.6553,,-33.6652,-23.4382,19.4895,-55.0949,-34.2198,-33.7581,2.7704,-62.5188,-17.2611,-51.1192,-73.3594,-55.0914,,-63.1652,-46.932,-32.6553,,,,,,,,,,,,,,,4,,-4.9231,,8.473,-5.0786,9.5735,-7.3056,2.1667,1.2658,2.9949,-11.0041,16.1468,-4.3946,2.2243,-6.5186,,0.6186,6.8396,-4.9231,,,,,,,,,Complete curve; partial efficacy; poor fit,-8,0.4,0.6712,-32.8601,14.3795,-1.4,1 0 0 0 0 0 1 0 0 0 0 0 0 0 1,-10.2907,,-23.6083,-5.2428,8.7463,-20.0735,-17.1298,-17.7413,6.5649,-22.2519,-18.6628,-23.2257,-40.0492,-24.5363,,-34.7308,-28.5587,-10.2907,,,,,,,,,QC'd by SigmaAldrich
547,26757553,13286,C(CO)N1C(=O)N(C(=O)N(C1=O)CCO)CCO,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164136-01/21156164,,Inconclusive,0.0178,38.3969,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0 1,7.6266,,-27.0041,31.3146,13.8259,-12.4632,-5.9424,-2.293,-20.7561,-7.4486,-19.1895,-16.997,-37.5222,-28.5421,,-8.0626,-19.759,7.6266,,,,,,,,,,,,,,,4,,9.4844,,-5.8055,12.227,19.0409,2.953,11.9122,10.4255,9.2338,17.1721,6.8339,16.4139,9.4906,4.4209,,25.6677,21.2855,9.4844,,,,,,,,,Complete curve; partial efficacy; poor fit,-7.75,0.5,0.8879,-35.3829,3.014,-1.4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-11.3237,,-21.4215,-0.8217,-14.3818,-15.2258,-21.1035,-19.4055,-26.0016,-24.3694,-25.3109,-31.6369,-37.8191,-30.4872,,-33.824,-35.9518,-11.3237,,,,,,,,,QC'd by SigmaAldrich
548,26757554,8178,COCCOCCOCCO,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164137-01/21156845,,Inconclusive,,,,Complete curve; partial efficacy; poor fit,-6.15,2.2526,0.6119,28.9463,-15.3808,1.4,0 0 1 0 0 0 0 0 0 1 0 0 0 0 1,-39.5351,,-22.5399,14.2507,57.8345,-9.1556,-29.67,-15.176,-22.9276,-23.2177,9.7347,54.7906,22.0342,43.0164,,-1.8579,48.4843,-39.5351,,,,,,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0 0 0 1,-6.4033,,-17.6113,-5.0059,14.6641,-5.5118,-2.5963,-9.0282,-8.1202,-9.3189,11.6787,13.1837,7.7041,4.8852,,-0.8848,15.2189,-6.4033,,,,,,,,,,,,,,,4,,-33.9583,,-16.9295,-4.3426,5.2997,-14.5662,-31.4779,-19.0134,-21.2908,-20.7731,-19.7413,2.9432,-9.8145,1.6992,,-18.4496,-1.7581,-33.9583,,,,,,,,,QC'd by SigmaAldrich
549,26757560,14770,[Ga]#[As],Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164143-01/21155983,,Inconclusive,,,,Complete curve; partial efficacy; poor fit,-7.85,4.9549,0.5623,-23.0374,20.9722,-1.4,0 0 0 0 0 0 1 0 0 0 0 0 1 0 1,7.8006,,10.2337,13.1341,36.9208,17.2963,-52.8937,-29.737,27.5181,-21.3893,-16.1744,18.9944,-20.2147,-27.7925,,31.3417,-35.7113,7.8006,,,,,,,,,,,,,,,4,,9.1009,,-8.6412,-7.4219,-4.5969,-10.7288,-13.1457,-3.3661,8.289,-17.1915,-14.6097,7.796,-10.7625,-23.6167,,2.5019,-11.7545,9.1009,,,,,,,,,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-8.0828,,5.1161,7.2192,20.5856,16.9674,-26.3106,-20.7712,5.2416,-2.1419,-2.9998,-2.0659,-8.6781,-3.789,,6.5841,-17.6503,-8.0828,,,,,,,,,QC'd by SigmaAldrich
550,26757569,7026,CN(C)CC1=CC(=C(C(=C1)CN(C)C)O)CN(C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164152-01/21157033,,Cytotoxic,1.2589,38.5881,,Complete curve; partial efficacy; poor fit,-8.3,0.8,0.4674,-49.7005,11.5758,-1.4,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0,-56.3861,,-40.8039,4.5919,-36.1733,-22.8631,-42.7768,65.0706,-28.3552,-60.1558,-31.9544,-42.5522,-73.8914,-23.9224,,-61.995,-54.6797,-56.3861,,,,,,,,,,,,,,,4,,-10.4709,,-13.9982,3.1952,9.8909,-2.3508,-5.5898,55.4294,-8.9173,-20.8434,2.1135,3.0849,-9.8132,-1.7092,,12.8364,7.2276,-10.4709,,,,,,,,,Complete curve; partial efficacy; poor fit,-5.9,0.7,0.8353,-47.1219,-8.5338,-1.4,0 0 1 0 0 0 0 0 0 0 0 1 0 0 1,-25.426,,-15.3961,-3.5821,-28.1513,-10.1816,-21.3243,-14.95,-7.6555,-17.7422,-21.9641,-28.6895,-36.5388,-16.1848,,-45.9349,-37.6381,-25.426,,,,,,,,,QC'd by SigmaAldrich
551,26757571,591200,CC(C)CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC(C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164154-01/21155799,,Cytotoxic,0.0028,26.0973,,Complete curve; partial efficacy; poor fit,-8.7,1.9673,0.4841,-29.5576,7.8338,-1.4,0 0 0 1 0 0 0 0 0 0 0 0 1 0 1,-8.7338,,5.0852,-17.117,-20.3537,7.9859,-27.7219,-23.959,-48.2396,-18.2759,-27.4861,-9.7775,-43.8321,-33.0751,,-11.6493,-34.4434,-8.7338,,,,,,,,,,,,,,,4,0 0 1 0 1 0 0 0 0 0 0 0 0 0 1,0.3342,,0.207,-4.3156,9.4747,2.7055,10.4172,4.8593,-7.6346,-4.362,4.3603,17.5734,12.4435,5.5917,,17.1521,12.1481,0.3342,,,,,,,,,Complete curve; partial efficacy; poor fit,-8.55,2.3031,0.7873,-24.1442,1.9531,-1.4,0 0 0 1 0 0 0 1 0 0 0 0 0 0 1,-6.1899,,-0.039,-7.6256,-18.7243,4.6401,-24.3167,-19.9188,-21.465,-6.1667,-20.3265,-20.258,-34.2868,-26.0038,,-22.4102,-29.5687,-6.1899,,,,,,,,,QC'd by SigmaAldrich
552,26757573,6545,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164156-01/21156491,,Cytotoxic,2.8184,38.2743,,Complete curve; partial efficacy,-5.5,4.9549,0.92,-38.2715,31.7367,-1.2,1 0 0 0 0 0 0 0 0 0 0 0 0 1 0,-38.445,,49.1474,20.5591,45.225,33.253,21.9013,41.3253,22.7173,42.5454,32.3892,20.6099,6.475,-45.7219,,-32.5127,-20.5551,-38.445,,,,,,,,,,,,,,,4,,16.0815,,8.1984,1.3241,18.3476,7.6004,12.4026,12.8092,4.5316,14.9045,8.9813,13.8106,9.6241,3.3711,,13.0382,9.3287,16.0815,,,,,,,,,Complete curve; partial efficacy,-5.55,2.3031,0.9195,-30.8094,7.4649,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-34.7827,,14.515,6.2055,7.8132,11.9996,-0.7532,5.9895,8.3632,8.6718,6.7422,-3.703,-7.4948,-33.3201,,-32.018,-22.1071,-34.7827,,,,,,,,,QC'd by SigmaAldrich
553,26757589,8398,CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164172-01/21155704,,Cytotoxic,25.1189,90.1092,,Complete curve; high efficacy; poor fit,-4.65,3.0654,0.7739,-138.475,9.4602,-1.3,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-108.186,,32.5488,4.3254,-30.7328,1.0749,-39.0706,8.433,20.6423,30.4597,35.1079,17.9043,16.2855,30.8189,,-7.5996,-136.896,-108.186,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.4,4.9549,0.8376,76.212,2.837,2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,74.9649,,-2.0146,-6.8176,12.8803,9.7374,1.8893,8.8803,9.0186,7.9109,2.7017,4.201,7.8962,0.9641,,-20.3883,24.0278,74.9649,,,,,,,,,Complete curve; high efficacy; poor fit,-4.6,4.9549,0.8171,-88.0932,2.016,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-79.5363,,16.8905,6.3991,-25.2958,-5.3388,-24.3046,-4.9146,5.7327,10.5256,16.0057,4.8961,1.6079,13.1285,,10.0682,-83.9112,-79.5363,,,,,,,,,QC'd by SigmaAldrich
554,26757592,13192,C(CCCN=C=O)CCN=C=O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164175-01/21155672,,Inconclusive,19.9526,18.3743,,,,,,,,4,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0,-4.2456,,-49.4524,-1.1466,-39.9335,-27.4939,-36.2661,-1.829,-43.4568,-36.3457,-52.0769,-56.4706,-49.7389,-37.7084,,-32.3967,-6.7979,-4.2456,,,,,,,,,,,,,,,4,,15.301,,5.4987,9.1495,17.2945,14.7231,19.9131,27.756,13.3982,13.8712,-0.7888,9.7851,7.0453,5.4861,,2.9126,21.2945,15.301,,,,,,,,,Complete curve; partial efficacy; poor fit,-4.7,1.6604,0.6108,-41.2526,-59.6269,-1.4,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-42.7105,,-62.6081,-37.0986,-62.2461,-52.8776,-62.7358,-51.9106,-61.1474,-57.4971,-58.2089,-68.4391,-61.8938,-55.8654,,-51.0407,-48.5696,-42.7105,,,,,,,,,QC'd by SigmaAldrich
555,26757596,16682834,CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164179-01/21156223,,Cytotoxic,12.5893,70.0946,,Complete curve; high efficacy,-5.3,4.9549,0.9234,-104.112,6.8054,-1.1,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-100.09,,56.317,22.2417,22.7962,-6.6654,4.5521,-20.4355,28.932,-16.3455,10.8131,5.6814,10.9546,-87.3779,,-104.521,-107.176,-100.09,,,,,,,,,Complete curve; partial efficacy; poor fit,-5.4,0.8,0.8831,-74.3911,-6.4999,-1.4,0 0 0 0 0 0 0 0 0 0 0 1 0 0 1,-7.4269,,2.5896,-4.6321,-15.446,-4.5009,-7.02,-20.0613,-8.2671,-20.3133,-20.37,-12.907,-42.1513,-95.6284,,-62.4094,-60.248,-7.4269,,,,,,,,,Complete curve; high efficacy; poor fit,-4.9,3.9295,0.7641,-80.6392,-10.5445,-1.3,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,-87.4097,,-5.0589,-16.8673,-4.9205,-31.7494,-25.1052,-31.0729,-6.2301,-25.315,-8.8509,-20.1876,18.0358,21.9239,,-61.9188,-69.416,-87.4097,,,,,,,,,QC'd by SigmaAldrich
556,26757597,165746,CC(C)CCCCCOC(=O)C=C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164180-01/21156581,,Inconclusive,,,,Partial curve; partial efficacy; poor fit,-5.05,0.4,0.6117,-91.218,-17.5886,-2.4,1 0 0 0 0 0 0 0 0 0 0 0 1 0 1,-12.7009,,-41.0312,-9.3217,-25.9932,-25.963,-34.5981,-21.5441,-50.5793,-19.2271,-23.7094,-46.3431,-49.0246,-40.9917,,-19.0823,-73.3472,-12.7009,,,,,,,,,,,,,,,4,,-6.3941,,-12.8226,-8.6456,-1.9601,-11.8282,-2.9127,-6.2678,-13.0476,-3.8072,2.7313,-1.5982,-6.3503,-11.0002,,-8.6447,-15.2615,-6.3941,,,,,,,,,,,,,,,4,,-0.6216,,-14.7343,2.6312,-11.1387,-1.8721,-16.4976,-7.3755,-17.3417,-5.0191,-14.4115,-25.009,-22.4156,-16.0005,,-4.7919,-32.7796,-0.6216,,,,,,,,,QC'd by SigmaAldrich
557,26757598,9006,C[Si](C1=CC=CC=C1)(Cl)Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164181-01/21156118,,Cytotoxic,10,39.0946,,Partial curve; partial efficacy; poor fit,-4.8,0.3,0.4692,-91.514,-24.9052,-2.4,0 0 0 0 0 0 0 0 0 0 1 0 0 0 1,-47.198,,-42.8859,-38.1437,-30.3711,-16.1287,-50.5257,-41.7906,-37.8904,-34.8263,-34.2517,-37.468,40.8788,-46.9728,,-71.6361,-64.5875,-47.198,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,-16.5997,,-10.0499,3.7984,2.9813,2.344,-1.0408,3.9044,-5.1118,-1.0215,1.0344,0.574,53.6493,-3.4388,,-2.589,2.6484,-16.5997,,,,,,,,,Partial curve; partial efficacy; poor fit,-5,0.5,0.6098,-52.8516,-13.7569,-2.4,0 0 0 0 1 0 0 0 0 0 1 0 0 0 1,-13.3776,,-18.3641,-24.4978,-18.3646,-8.1308,-28.1132,-27.4923,-15.5129,-17.1423,-20.3874,-22.3918,-17.0628,-25.9563,,-40.7097,-39.179,-13.3776,,,,,,,,,QC'd by SigmaAldrich
558,26757599,16684310,CCCC[Sn]1(OC(=O)C=CC(=O)O1)CCCC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164182-01/21157071,,Inconclusive,7.9433,74.1116,,Complete curve; high efficacy,-5.35,1.111,0.9623,-115.095,5.1713,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-104.455,,-11.5172,8.9429,7.0031,15.054,-6.4873,11.4273,0.782,10.3787,-7.3116,-25.8161,-49.7327,-57.2913,,-89.6725,-114.228,-104.455,,,,,,,,,Complete curve; high efficacy,-5.1,1.4641,0.9708,-128.514,-9.754,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-111.299,,-17.8954,-20.3994,-0.4041,-12.9096,-12.7903,-7.1733,-8.3801,-6.5485,-10.3263,-13.8584,-24.5673,-72.6427,,-101.216,-116.268,-111.299,,,,,,,,,Complete curve; partial efficacy; poor fit,-5.1,3.132,0.8987,73.4076,-0.704,1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,77.6312,,-2.8162,14.3075,-3.0347,14.6129,-2.12,2.6963,0.9581,4.5486,-4.773,-14.4216,-20.8083,33.3449,,63.0649,68.6212,77.6312,,,,,,,,,QC'd by SigmaAldrich
559,26757601,70400,B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164184-01/21156236,,Inconclusive,0.004,27.775,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 0 0 1 0 0,-27.5229,,2.3183,19.1209,-21.5973,-35.6026,-17.5424,-22.9501,-1.4842,-32.7338,-18.2877,-23.4181,-32.3083,-10.9163,,-2.6963,-30.6259,-27.5229,,,,,,,,,,,,,,,4,,-3.7686,,-8.9862,-5.7555,-5.3632,1.472,2.4252,10.3291,-0.0109,12.1573,-4.9804,-0.2747,0.2588,-2.9523,,1.1511,-3.8348,-3.7686,,,,,,,,,Complete curve; partial efficacy; poor fit,-8.4,4.9549,0.6938,-23.6447,4.1303,-1.4,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0,-22.3467,,-0.9903,8.0842,-17.104,-29.9182,-21.1996,-30.4571,-7.3053,-34.5222,-16.0398,-23.6477,-28.5158,-14.5132,,-13.191,-25.6343,-22.3467,,,,,,,,,QC'd by SigmaAldrich
560,26757605,19284,CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164188-01/21156338,,Inconclusive,,,,Complete curve; partial efficacy; poor fit,-8.5,4.9549,0.4546,-36.4896,-5.1764,-1.4,0 0 0 0 0 0 0 0 1 0 1 0 0 0 1,-16.4014,,-16.2186,2.9247,-44.3985,-9.7545,-47.9029,-48.8391,-35.3167,-33.4747,-7.2781,-37.448,15.9785,-25.1146,,-37.7843,-42.1624,-16.4014,,,,,,,,,,,,,,,4,,-8.9443,,-18.0247,-0.5746,-1.705,-9.1555,-13.8205,-6.3204,-11.4882,-7.8531,-0.0603,-7.2705,18.2685,-11.4019,,0.1362,-18.7995,-8.9443,,,,,,,,,,,,,,,4,0 0 1 1 0 0 0 0 0 0 0 0 0 0 1,-0.6246,,5.7091,2.8077,-21.7241,6.4005,-15.9554,-22.8468,-7.8939,-10.1275,-2.8913,-15.4663,-3.8701,-5.5547,,-21.7079,-9.1185,-0.6246,,,,,,,,,QC'd by SigmaAldrich
561,26757607,5365125,CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164190-01/21156746,,Inconclusive,1.2589,19.7273,,,,,,,,4,,-16.3806,,35.4713,-18.2734,33.0035,-6.5008,-9.9194,-13.7769,17.5603,29.5636,28.9622,18.1195,-15.8212,37.6689,,17.5185,-32.3224,-16.3806,,,,,,,,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0 1,1.34,,11.0465,-13.6525,6.1188,-6.123,1.1366,5.1957,6.8033,12.8446,12.4247,20.4323,6.4019,11.9078,,16.8572,10.5375,1.34,,,,,,,,,Complete curve; partial efficacy; poor fit,-5.9,3.99,0.6771,-18.3103,1.417,-1.4,0 0 0 0 0 1 0 0 0 0 0 1 0 0 0,-14.1884,,4.1489,-3.0428,11.3343,0.9048,-10.2371,-17.4275,3.0957,2.9406,1.5223,-10.7063,-17.9347,4.5302,,-10.2007,-30.3262,-14.1884,,,,,,,,,QC'd by SigmaAldrich
